GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q	Sample
2729860805	32.736358	17.544855	37	6	0	0.126549	0.127004	0.002488	0.03016	0.004672	0.005422	0.296294	0.86555	0.852523	0.843176	0.833947	0.822455	0.801707	0.741951	0.373056	0.062638	0.009573	0.005644	0.004209	0.003266	0.002738	1.309454	?	?	0.854904	8	C1R-tumor
2729860805	31.153483	16.921398	35	6	0	0.128908	0.107426	0.002586	0.031085	0.005207	0.005627	0.280839	0.865229	0.851567	0.841794	0.831924	0.818843	0.791114	0.70737	0.285901	0.034226	0.007335	0.005312	0.004016	0.003203	0.002737	1.354499	?	?	0.854019	8	C2N-tumor
2729860805	35.724332	18.897667	40	7	0	0.127167	0.113931	0.002711	0.032425	0.003735	0.006439	0.286408	0.865659	0.852954	0.844212	0.835995	0.826469	0.812992	0.783562	0.534671	0.140271	0.016436	0.006471	0.005094	0.003987	0.003204	1.323123	?	?	0.855326	8	C2R1-tumor
2729860805	31.314647	16.896738	35	6	0	0.127113	0.106842	0.002516	0.03149	0.004623	0.005726	0.278311	0.864563	0.851369	0.841794	0.832137	0.819409	0.792872	0.712704	0.296218	0.036109	0.007125	0.0051	0.003859	0.003065	0.002611	1.304777	?	?	0.853782	8	C2R2-tumor
2729860805	31.160594	16.838429	35	6	0	0.126517	0.119641	0.002528	0.030311	0.005594	0.005899	0.29049	0.864189	0.850948	0.841303	0.83151	0.818568	0.79109	0.708142	0.288766	0.034907	0.007009	0.004986	0.003765	0.003011	0.002568	1.354808	?	?	0.853374	8	C2R3-tumor
2729860805	30.020627	16.445187	34	6	0	0.131708	0.119763	0.002452	0.029905	0.005639	0.006316	0.295783	0.865041	0.851513	0.841648	0.831403	0.816202	0.776892	0.663629	0.229522	0.026657	0.006831	0.004966	0.00378	0.003029	0.002576	1.364574	?	?	0.853888	8	C4P-tumor
2729860805	31.092773	16.847617	35	6	0	0.123398	0.058815	0.002958	0.03396	0.004296	0.005777	0.229204	0.864237	0.851061	0.841289	0.83117	0.817384	0.787516	0.700269	0.287747	0.038244	0.007453	0.005024	0.003739	0.002994	0.002527	1.35186	?	?	0.853475	8	D11N-tumor
2729860805	34.843534	18.728366	39	7	0	0.124344	0.064454	0.002834	0.033353	0.00469	0.006535	0.23621	0.865283	0.852359	0.843342	0.834636	0.824175	0.807679	0.765962	0.474399	0.129323	0.022396	0.007182	0.004655	0.003541	0.002935	1.340136	?	?	0.854768	8	D14R-tumor
2729860805	31.230661	16.899789	35	6	0	0.130442	0.115711	0.002628	0.029372	0.003448	0.005572	0.287175	0.86567	0.85248	0.842867	0.833114	0.820028	0.792108	0.708294	0.289076	0.035432	0.007497	0.005419	0.004057	0.003168	0.002673	1.301278	?	?	0.854833	8	D16N-tumor
2729860805	30.308507	16.458756	34	6	0	0.129629	0.099203	0.002876	0.030963	0.003449	0.006307	0.272427	0.86555	0.852127	0.842179	0.831893	0.817535	0.783556	0.680805	0.239529	0.026308	0.007049	0.005028	0.003706	0.002955	0.002506	1.317761	?	?	0.854497	8	D16N2-tumor
