"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NNeurophysiological process_Melatonin signaling",-0.652730780935163,0,0,"3763;5330;815;3292;240;6517","Melatonin signaling"
"NNeurophysiological process_Visual perception",-0.671992082160651,0,0,"9478;145226;8787;2700;2978;5630;3983;1410;6017;94233;4284;1258;4094;24;407;5145;4647;6295;1381;1413","Visual perception"
"NSignal transduction_ESR2 pathway",0.212004474577666,0,0,"3481;1950;1956;118;5730;949;283120","ESR2 pathway"
"NImmune response_Th17-derived cytokines",-0.571471262137922,0,0,"4792;5602;5600;4318;3553;3586;6364;6279;6356;6280;6354","Th17-derived cytokines"
"NInflammation_IFN-gamma signaling",0.231305906200598,0,0,"3627;7099;4261;1048;3459;629;1604;3716;3383;58191;4174;5272","IFN-gamma signaling"
"NInflammation_Kallikrein-kinin system",0.32139195327045,0,0,"4311;5340;1368;59272;5265;710;1803;7018;5327;290;2152;5321;5294;9536;3716;5970;2773;624","Kallikrein-kinin system"
"NDevelopment_Skeletal muscle development",-0.562156691941821,0,0,"4629;58;4898;1839;72;1387;6300;5154;9759;83933;1960;6722;10398;1282;9924;6840;4606;7402;3679;6329;4625;7291;8106;59;7422;7169;1742;5600;775;1410;2627;814;2318;4619;84676;50509;2006;6442;6334;844;1289;4604;22801;3479;4624","Skeletal muscle development"
"NTransport_Potassium transport",-0.599241020497999,0,0,"3777;80036;6557;3778;170850;3757;81033;3745;7226;3743;3748;3064;478;57582;3763;348980;477;5313;1258;5348;482;3782;3746;26251;57468;123041;2701;80333;486;3784;10052;3765;53828;495;10060;480","Potassium transport"
"NInflammation_TREM1 signaling",-0.488018451529391,0,0,"4772;3678;6300;5335;581;6885;3684;64170;64127;3676;4316;5293;4773;5599;10000;4792;5602;7462;10725;5600;6850;6348;958;3553;7305;3586;54209;54210;6354","TREM1 signaling"
"NMuscle contraction",-0.580705250140259,0,0,"444;6444;4608;8736;2979;4130;5578;7871;1140;4629;1264;58;610;9992;3678;773;5592;6804;4659;1080;43;226;2697;6722;10398;4881;4606;3778;5731;284217;6262;3757;3745;2978;6329;4625;59;4638;2281;6915;487;1742;1134;1410;1909;1180;814;6546;51083;4619;1760;89;84676;5348;6442;3270;844;8557;3784;10052;4604;88;1145;4624","Muscle contraction"
"NCell adhesion_Glycoconjugates",-0.518044887924091,0,0,"1436;51807;3984;375790;3958;3667;6693;284217;3038;3679;1634;8515;1462;3672;6850;6614;1463;4915;6366;627;2006;347733;3957;1277;22801;3371;3956;3960;2335;7130;6364;4916;4068","Glycoconjugates"
"NDevelopment_Neurogenesis in general",-0.503836709816727,0,0,"9759;2316;4902;7021;2705;2675;4851;1855;27330;1282;6196;5623;2535;5454;4192;5087;429;7475;4010;4884;7476;7422;3213;4826;53358;5764;10763;64096;2290;238;1131;5026;5270;26468;9118;5455;474;1910;3624;1270;6493;135","Neurogenesis in general"
"NTransport_Calcium transport",-0.571509300726127,0,0,"4308;9187;2054;55503;1135;64094;773;5335;783;4313;2669;1143;2902;493;9478;5310;6857;80036;774;8911;6262;5319;5579;51393;7226;7224;8996;2159;487;1742;1134;775;5954;2550;6546;93589;492;30818;776;1258;27039;5582;3270;844;123041;777;10052;1145;8913;28954;10316;491;7352;6279","Calcium transport"
"NInflammation_Histamine signaling",-0.491559156009017,0,0,"5578;4843;5742;2687;5603;58;4772;23236;1536;109;6300;5335;5338;4056;6352;4881;2977;3984;7454;111;196883;818;4773;5319;5740;112;5599;30814;4792;5602;5600;4689;653361;5330;4688;3067;815;2983;4846;8681;6348;240;26279;3553;816;3586;6364;108;6356","Histamine signaling"
"NCell adhesion_Cell-matrix interactions",-0.542240264703235,0,0,"3678;3909;3694;2192;7143;3911;2697;2201;4313;3684;1282;9508;2202;1281;375790;3958;3676;4316;4322;2200;284217;8745;3679;1634;1290;7045;8515;1462;170689;3672;9509;56999;952;4318;633;9313;6441;1463;4060;50509;2006;6442;4321;1464;1289;1277;1305;22801;10894;3371;3956;2335;7130;4237;80332;140766","Cell-matrix interactions"
"NProteolysis_Ubiquitin-proteasomal proteolysis",0.13349790534543,0,0,"83737;5707;2745;9810;7844;7415;7317;59343;8650;3416;151636;51465;26994;79589;4734;7328;5708;8452;9491;5706;6477;23327;7323;9101;5701;56852;8314;5711;10197;9817;10193;8453;4799;55743;10489;10210;6478;5709;5717;7706;23640;5887;5684;10213;5886;5071","Ubiquitin-proteasomal proteolysis"
"NCell adhesion_Integrin-mediated cell-matrix adhesion",-0.474695680887787,0,0,"963;3678;3909;3694;5335;2316;3911;147179;65059;3684;51807;1282;388;3984;3696;1281;7041;7454;29780;3676;9404;5293;2200;7204;284217;10420;3679;1634;51176;4638;1729;8515;6678;3672;7409;10395;2318;4619;89;5923;347733;1277;3491;88;22801;10631;3371;3956;2335;6696","Integrin-mediated cell-matrix adhesion"
"NProtein folding_ER and cytoplasm",0.317657414498588,0.02,0.151834975369458,"351;7494;821;29927;2745;7415;22926;5611;811;6341;3309;11231;5034;55176;2288;11124;3065;10525","ER and cytoplasm"
"NImmune response_IL-5 signalling",0.232543670266336,0.02,0.151834975369458,"5321;4067;3716;1439;6772;596;6777;6774;207;3717;2885;5170;5906","IL-5 signalling"
"NApoptosis_Endoplasmic reticulum stress pathway",0.261353610085776,0.02,0.151834975369458,"100506742;4800;90993;7494;90427;824;836;6416;8720;22926;9709;1965;10130;4802;5611;596;7184;7186;823;51347;3309","Endoplasmic reticulum stress pathway"
"NSignal Transduction_BMP and GDF signaling",-0.504826762930831,0.02,0.151834975369458,"650;632;1026;654;4092;5600;25928;3397;860;8646;26585;94;3479;3224;6696","BMP and GDF signaling"
"NProteolysis_Proteolysis in cell cycle and apoptosis",-0.181642581436551,0.02,0.151834975369458,"9700;26232;9985;3001;1513","Proteolysis in cell cycle and apoptosis"
"NChemotaxis",-0.573754827607158,0.02,0.151834975369458,"6361;1236;6092;6693;6372;10850;9353;7422;3552;5600;6850;5168;10663;1233;1524;10563;6441;6348;6366;728;9547;3553;3491;3586;6369;6364;6356;6696;6354","Chemotaxis"
"NTranslation_Regulation of initiation",-0.209837218174893,0.02,0.151834975369458,"5603;8894;3643;6300;8669;6885;6199;3667;3560;5293;7074;6655;10000;5600;3561;3315","Regulation of initiation"
"NTransport_Sodium transport",-0.484543619647313,0.02,0.151834975369458,"55800;6548;80036;6557;9153;3757;6526;6329;51393;7226;7224;6559;6507;3064;478;6546;348980;83959;477;6335;482;6334;123041;2701;486;6550;6569;388662;6539;480","Sodium transport"
"NCell adhesion_Platelet-endothelium-leucocyte interactions",-0.500548050105404,0.02,0.151834975369458,"5154;948;7436;7059;4313;6352;4035;3684;2811;1282;83700;1281;3676;4322;2153;5364;284217;8832;5858;58494;2161;1290;1301;2159;7422;1490;7450;4792;2815;3490;5054;338;968;5156;4481;2147;4318;5175;6348;2157;5270;90952;958;7058;2207;1302;3553;1289;7980;1277;3491;5159;2335;4921","Platelet-endothelium-leucocyte interactions"
"NTranscription_Nuclear receptors transcriptional regulation",-0.213445820041624,0.02,0.151834975369458,"5439;5465;6879;9321;3265;5436;355;9063;9994;6597;51003;10011;7040;23054;6881;83860;3148;84246;6257;7249;5915;5916;6877;9611;5241;1024;9968;1387;2101;367;5154;7026;6885;3164;7025;9612;9971;6096;7067;9969;2099;8148;64324;6655;5600;5156;154;3553","Nuclear receptors transcriptional regulation"
"NInflammation_IL-13 signaling pathway",-0.509703792784983,0.04,0.240683260126891,"5581;3667;6361;5293;4792;2302;3371;246;108;6356;84666","IL-13 signaling pathway"
"NProteolysis_ECM remodeling",-0.545888777251695,0.04,0.240683260126891,"6942;4313;4035;1282;9508;1281;4316;4322;284217;2161;5054;6678;9509;2147;4318;9313;4060;2006;4321;5269;7980;1277;3371;2335;80332;140766;6696","ECM remodeling"
"NNeurophysiological process_Transmission of nerve impulse",-0.492880934938351,0.04,0.240683260126891,"27345;773;40;6330;9001;2902;2901;9478;3777;9826;3778;2743;2892;818;27115;2891;5579;9722;2893;1742;775;116444;6850;814;2904;2564;2906;815;6335;5923;3782;5582;57468;1901","Transmission of nerve impulse"
"NCell adhesion_Platelet aggregation",-0.506586799300318,0.04,0.240683260126891,"109;5335;948;3937;2316;2811;953;2149;1282;1281;111;5293;196883;5740;112;4638;7450;6915;2815;7409;6850;2147;5330;4619;89;5175;2207;27040;10235;1277;88;7941;108","Platelet aggregation"
"NDevelopment_Ossification and bone remodeling",-0.490478786228278,0.04,0.240683260126891,"1747;10413;650;7476;632;7291;51176;654;4092;5600;5764;10220;6678;5744;2550;8817;4982;3487;860;8646;1009;1277;10631;3479;3624;3224;60529;6696","Ossification and bone remodeling"
"NDevelopment_Neurogenesis_Synaptogenesis",-0.499685206314144,0.04,0.240683260126891,"2066;11059;4909;58;145957;8541;1947;5121;773;2049;2260;6804;54910;43;320;1855;4035;2902;375790;9378;6843;6857;201294;774;284217;57596;104;2048;2891;8497;7476;57787;10716;7224;1742;2904;27445;815;4340;54510;4915;23025;627;7058;6334;6855;26059;9240;8927;4916;4900","Neurogenesis"
"NCell adhesion_Leucocyte chemotaxis",-0.465547218737916,0.04,0.240683260126891,"3932;5335;919;914;3937;941;940;3384;6352;51807;5880;7852;7454;3676;6361;1236;9826;5293;6372;7204;818;7409;10663;1233;2533;5330;815;695;1524;10563;6348;6366;8631;347733;27040;10235;816;6369;6364;6356;6354","Leucocyte chemotaxis"
"NDNA damage_BER-NER repair",-0.134621756253253,0.0600000000000001,0.30329643296433,"9656;64210;3978;5983;2966;2074;4331;7158;404672;11232;6667;5981;3364;5984;55247;7507;2068;6119;672;7515;10721;27301;5426;472;4595","BER-NER repair"
"NAutophagy_Autophagy",0.23935369239395,0.0800000000000001,0.350504619758351,"7099;10333;7098;7097;9776;596;1612;207;8678;30849;5170;81631;5728;9140;22863;9474;83734;11345;4615;10533","Autophagy"
"NApoptosis_Apoptotic mitochondria",-0.192237768911319,0.0800000000000001,0.350504619758351,"10572;9774;581;10922;1080;10018;4217;3958;597;8739","Apoptotic mitochondria"
"NImmune response_Antigen presentation",-0.229405940105123,0.0800000000000001,0.350504619758351,"926;23198;100507436;3320;4792;916;29851;3824;917;958;2207;915;2209","Antigen presentation"
"NCell cycle_Mitosis",-0.254102886566992,0.0800000000000001,0.350504619758351,"1781;5048;29945;10270;7150;3609;51143;9360;3835;4926;3840;332;8243;995;1060;994;9735;58;10362;983;3082;25847;22924;57082;1063;6233;7515;51807;54737;26052;3838;3619;27436;2099;23468;9700;23499;259266;6795;347733;1759","Mitosis"
"NProtein folding_Protein folding nucleus",-0.152659764591438,0.1,0.399255181347151,"5204;367;9759;5903;5532;8148;3320","Protein folding nucleus"
"NApoptosis_Anti-Apoptosis mediated by external signals via PI3K/AKT",-0.430477210070299,0.1,0.399255181347151,"5922;3726;3643;3082;1438;3678;5155;2260;581;5154;941;2246;940;10018;1282;558;3559;3667;23529;284217;100507436;112;4303;7422;4792;8515;604;597;6850;5156;154;4846;6348;4915;3561;627;10870;3553;7305;1277;22801;3479;5159;2335;1270;4916;54210","Anti-Apoptosis mediated by external signals via PI3K/AKT"
"NDevelopment_Regulation of angiogenesis",-0.256206953251991,0.1,0.399255181347151,"23236;1947;5333;1387;5154;7026;6885;2697;4313;1000;388;7852;3676;9971;2737;2305;23118;3679;1026;7422;1490;4792;3552;5054;6678;1909;4318;633;4915;3397;9046;3553;1910;6935","Regulation of angiogenesis"
"NTranslation_Selenium pathway",-0.228893190879624,0.12,0.428214182344429,"58515;6667;2879;6403;2876;4843;4144;51734;6156;2877;1734;114112;140606;79048","Selenium pathway"
"NNeurophysiological process_Long-term potentiation",-0.515694429371128,0.12,0.428214182344429,"23236;6622;5592;2902;5924;6262;2891;814;2904;5330;815;4846;627;5923","Long-term potentiation"
"NCytoskeleton_Intermediate filaments",-0.489094536630288,0.12,0.428214182344429,"64780;2125;58;983;3852;5339;631;51807;667;4644;3861;3872;3798;5630;7431;1308;5317;5602;8419;10763;3848;9118;347733;3868","Intermediate filaments"
"NCell cycle_Meiosis",-0.247827873122449,0.12,0.428214182344429,"4750;995;138474;4437;5893;983;672;6233;7515;51807;675;11144;3714;472;9700;50511;9985;23626;347733","Meiosis"
"NTranscription_Transcription by RNA polymerase II",-0.233666483804752,0.12,0.428214182344429,"10589;51003;2966;2074;6921;9044;4331;6621;404672;51497;23054;9441;10923;6919;400569;6881;83860;27336;84246;7150;6877;9611;1024;9519;2648;6923;2068;9968;8812;1387;905;10915;904;9969;8148;8295","Transcription by RNA polymerase II"
"NImmune response_Phagocytosis",-0.457241266433599,0.12,0.428214182344429,"3684;10859;3984;4644;7454;5581;4360;5293;64581;5579;5599;4650;4638;2206;4792;5602;5600;4689;338;653361;7409;6850;3055;4481;2533;5330;4688;695;4619;89;2207;5582;2214;27040;2209;88;2335;135","Phagocytosis"
"NTransport_Bile acids transport and its regulation",-0.549933800858147,0.14,0.462502679528403,"948;5244;9971;8647;10998;221357;6579;64241","Bile acids transport and its regulation"
"NDevelopment_Cartilage development",-0.498704430738443,0.14,0.462502679528403,"6615;1281;649;4322;7067;2200;864;650;1301;654;4092;5600;860;1302;1277;2335;3624","Cartilage development"
"NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling",-0.463483541475735,0.14,0.462502679528403,"4772;23236;3678;5335;6885;2697;4851;1855;6722;8828;57534;6615;3399;5310;3676;2737;796;5532;2200;4625;51176;6909;59;7422;1462;133;4776;4619;5175;3397;10052;4624","Wnt"
"NImmune response_TCR signaling",-0.446025194174642,0.14,0.462502679528403,"5788;5781;4843;7535;5603;10125;58;4772;3678;3932;6300;5335;919;3937;941;940;3384;6233;10018;3984;4217;7454;3676;926;4773;100507436;5599;4792;5602;10725;5600;7409;597;916;2904;2533;29851;917;8631;915;27040;3586;27240;1493","TCR signaling"
"NImmune response_Phagosome in antigen presentation",-0.280530856222005,0.14,0.462502679528403,"5599;3320;2206;4792;5602;5600;7409;6850;3055;2533;5330;695;89;2207;2214;27040;2209;88;2335","Phagosome in antigen presentation"
"NDNA damage_MMR repair",-0.157419999321111,0.16,0.498015652612977,"5983;51426;7158;27030;5981;4437;5984;5980;11219;672;675;472;4595","MMR repair"
"NDevelopment_Melanocyte development and pigmentation",0.229692824208938,0.18,0.525756929637527,"3815;6663;2982","Melanocyte development and pigmentation"
"NProteolysis_Connective tissue degradation",-0.478821777381551,0.18,0.525756929637527,"6942;4313;4035;1282;9508;1281;4316;4322;284217;8745;5054;170689;9509;56999;4318;9313;4060;8728;5270;2006;1215;4321;5269;7980;1277;3371;2335;80332;140766","Connective tissue degradation"
