gene	mut	gain	loss
ABL2	3.2258064516129	0	0
ACVR1	3.2258064516129	0	0
AFF1	3.2258064516129	0	0
AFF3	9.67741935483871	0	0
AFF4	3.2258064516129	0	0
AKAP9	19.3548387096774	0	0
AKT3	3.2258064516129	0	0
AMER1	3.2258064516129	0	0
ANK1	3.2258064516129	0	0
APC	6.45161290322581	0	0
ARHGAP26	6.45161290322581	0	0
ARHGAP5	3.2258064516129	0	0
ARHGEF10	3.2258064516129	0	0
ARID1A	19.3548387096774	0	0
ARID2	6.45161290322581	0	0
ASPSCR1	6.45161290322581	0	0
ATM	87.0967741935484	0	0
ATP1A1	3.2258064516129	0	0
ATR	6.45161290322581	0	0
BCL10	3.2258064516129	0	0
BCL9	3.2258064516129	0	0
BCL9L	6.45161290322581	0	0
BCORL1	6.45161290322581	0	0
BCR	3.2258064516129	0	0
BRAF	6.45161290322581	0	0
BRCA2	9.67741935483871	0	0
BRD4	3.2258064516129	0	0
CACNA1D	6.45161290322581	0	0
CALR	3.2258064516129	0	0
CASP3	6.45161290322581	0	0
CBL	6.45161290322581	0	0
CBLB	3.2258064516129	0	0
CCDC6	41.9354838709677	0	0
CD274	3.2258064516129	0	0
CDC73	3.2258064516129	0	0
CDK12	6.45161290322581	0	0
CEBPA	22.5806451612903	0	0
CHD2	3.2258064516129	1.61290322580645	0
CIC	6.45161290322581	0	0
CIITA	6.45161290322581	0	0
CLIP1	48.3870967741936	0	0
CLTC	6.45161290322581	0	0
COL3A1	9.67741935483871	0	0
CPEB3	3.2258064516129	0	0
CREB3L2	6.45161290322581	0	0
CREBBP	6.45161290322581	0	0
CRTC1	3.2258064516129	0	0
CSF1R	3.2258064516129	0	0
CSF3R	3.2258064516129	0	0
CTCF	3.2258064516129	0	0
CTNNB1	3.2258064516129	0	0
CTNND1	3.2258064516129	0	0
CXCR4	6.45161290322581	0	0
CYLD	6.45161290322581	0	0
DAXX	3.2258064516129	0	0
DCC	3.2258064516129	0	0
DDR2	3.2258064516129	0	0
DDX10	3.2258064516129	0	0
DDX6	6.45161290322581	0	0
DGCR8	3.2258064516129	3.2258064516129	0
DICER1	3.2258064516129	0	0
DNM2	3.2258064516129	0	0
DROSHA	3.2258064516129	0	0
EBF1	3.2258064516129	0	0
EP300	3.2258064516129	0	0
EPHA3	22.5806451612903	0	0
EPHA7	3.2258064516129	0	0
ERBB3	6.45161290322581	0	0
ERC1	6.45161290322581	0	0
ERCC2	3.2258064516129	0	0
ESR1	3.2258064516129	0	0
ETV1	3.2258064516129	0	0
EXT2	3.2258064516129	0	0
FANCA	3.2258064516129	0	0
FANCC	3.2258064516129	0	0
FAT1	19.3548387096774	0	0
FAT3	16.1290322580645	0	0
FAT4	3.2258064516129	0	0
FBXO11	3.2258064516129	0	0
FCGR2B	3.2258064516129	0	0
FGFR3	3.2258064516129	0	0
FKBP9	3.2258064516129	0	0
FLNA	9.67741935483871	0	0
FLT4	3.2258064516129	0	0
FOXA1	16.1290322580645	0	0
FOXO4	6.45161290322581	0	0
GATA2	6.45161290322581	0	0
GLI1	3.2258064516129	0	0
GNAQ	3.2258064516129	0	0
GOPC	3.2258064516129	0	0
HIF1A	3.2258064516129	0	0
HMGA1	3.2258064516129	0	0
HOOK3	6.45161290322581	0	0
HRAS	22.5806451612903	0	0
IDH2	3.2258064516129	0	0
IL21R	6.45161290322581	0	0
ISX	3.2258064516129	0	0
ITGAV	3.2258064516129	0	0
JAK3	3.2258064516129	0	0
JUN	3.2258064516129	0	0
