"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge","Gene.Set.Term"
"NDNA damage_Core",-0.597968616353939,0,0,"29935;5111;2547;5883;9656;5591;672;11200;1111","Core"
"NInflammation_Complement system",0.462961922225988,0,0,"720;4179;629;3075;22918;718;729;730;715;1675;716","Complement system"
"NDNA damage_MMR repair",-0.586365089007863,0,0,"675;6117;5983;4436;5982;5985;5111;4595;5984;9656;2956;580;4439;672;5425;11200;1111;5424;9156;641","MMR repair"
"NDevelopment_Cartilage development",0.497276748476236,0,0,"4148;7043;1101;652;4090;4256;4086;659;1311;1281;658;2200;1278;3685;90;4089;4920;4091;5549;1303;6662;860;1277;1298;7067;4092","Cartilage development"
"NBlood coagulation",0.460542754246354,0,0,"2151;857;5327;5627;10544;2776;2162;7450;5624;5270;7057;308;3685;5104;2159;928;5265;5340;4313;2157;2155;948;6288;8858;3690;7035;3998;710;3172;7018","Blood coagulation"
"NProteolysis_ECM remodeling",0.397517828178975,0,0,"7373;7079;2006;2331;5327;1511;5269;1471;4060;12;1300;4314;1281;6695;7076;5104;5265;5340;4313;7078;3909;4319;4351;4811;1277;7077;5046;5054;4035;4327;1191","ECM remodeling"
"NDNA damage_DBS repair",-0.58278183421632,0,0,"7316;7336;10856;29935;5111;2176;2547;51547;5591;80198;146956;7517;3148;672;8208;2178;5888;10036;2189;11200;10635;1111;25788;3978;2237;8438;2177;641","DBS repair"
"NDNA damage_BER-NER repair",-0.533690020473636,0,0,"5985;27301;6996;5428;29935;2071;5111;5427;4595;5984;5883;9656;580;10038;672;5425;7374;5426;11200;5886;1111;3978;55247;5424;2237;10721","BER-NER repair"
"NTranscription_Chromatin modification",-0.402637255434274,0,0,"10014;5931;9810;64324;3276;6304;22933;86;55869;23512;9869;675;8467;5371;11335;1108;23028;2648;4221;8607;23468;57332;6602;11011;10943;10013;11177;3066;10856;51547;9219;9031;10919;53615;8295;10498;6597;1786;10036;3159;84733;2146","Chromatin modification"
"NInflammation_IL-4 signaling",0.304112938482443,0,0,"2205;5295;5921;596;10464;2206;4790;3597;5728;3115;2353;572;3716;3113;3667;3122;3725;8660;3108;972;2212;3117;3717;5170;4094;3551;3119;3596;1435;5595","IL-4 signaling"
"NCell cycle_Core",-0.783523906647581,0,0,"8379;3835;10459;990;1019;5885;1874;1017;5933;1871;1032;4085;4172;9918;5426;84515;9134;26271;1164;8317;4175;983;4998;3978;10403;891;4751;9735;4173;3619;2237;995;898;993;4174;4176;9700;1058;4171;9232;699;5347;994;9133;23594;6790;9088;332;991;1870;64151;8318;1062;55388;9212","Core"
"NCytoskeleton_Spindle microtubules",-0.726586038018676,0,0,"3836;203068;64682;4133;7283;1639;8379;3835;7277;85378;5885;5116;10300;84790;347688;10381;10376;51512;27436;3838;1104;4085;9918;1164;983;55835;10403;891;1063;4751;9735;3619;3832;9700;7272;9493;24137;1058;3833;9232;699;5347;9133;11004;6790;991;1062;113130;11065;9212","Spindle microtubules"
"NCytoskeleton_Cytoplasmic microtubules",-0.45637493226662,0,0,"1155;3797;203068;547;10013;4133;7283;1639;23332;7461;7531;7277;85378;10300;4296;84790;347688;10381;2011;10376;27436;6904;81624;7534;983;995;3925;9493;3833;10112","Cytoplasmic microtubules"
"NCell cycle_Meiosis",-0.563286676114534,0,0,"207;5290;4436;23626;8900;10734;9985;867;7316;1956;3714;203068;64682;7283;7156;7531;7277;2810;5883;2956;84790;347688;10381;7532;4439;10376;672;1017;5888;11073;7534;2189;983;1111;25788;891;4751;995;9700;8438;9232;5347;641;991","Meiosis"
