Time (Week),2RA,2RC,2RD,2N,3NB,3ND,3LD,3LA,3RC,3RB,5LA,5LB,5LC,5LD,5RB,5NA,17RB,17ND,17NA,4LB,4RB,4RC,4NC,4ND,13NA,6ND,7LC,6LDL,6LDU,6RB,6RC,6RD,7LD,7RD,7RA,7RB,7ND,7NB,7NA,7NC,8LD,8RCU,8RCL,10LB,10LD,10LC,10RBL,10ND,11LB,11RD,11RC,11ND,12LD,16RD,16RC,16ND,14LA,14LB,14LC,14LD,14RD,14RB,14NC,14ND,14NB,15LB,15RD,15ND,15NC-D,15NC,16LD,1RB,1ND,1LA,1NA,9LB,9LA,16LC
0,4,0,0,4,3,1,7,0,5,0,5,0,15,2,4,10,10,5,7,0,0,7,6,6,10,10,2,2,0,5,0,0,2,3,3,3,2,0,0,0,3,2,0,5,0,0,6,2,3,3,0,2,2,3,12,5,6,5,2,15,3,0,3,0,0,3,4,4,0,0,3,7,4,2,6,7,0,0
1,8,15,20,9,12,3,14,,12,4,,4,,,,,20,7,15,,,11,12,15,17,40,5,2,,10,,,3,2,,,2,,,,6,5,12,10,,,10,2,2,5,3,2,3,3,,8,10,8,2,,2,,4,,,5,8,5,,,4,10,6,2,6,10,,
2,10,,,24,20,3,22,,20,10,6,,22,4,25,22,,,20,22,28,15,15,16,22,,3,3,,15,,,4,3,,,5,,,,9,20,,15,5,,14,2,0,6,4,0,3,3,12,16,12,8,5,,1,,5,,,10,17,4,5,,5,10,10,4,7,15,20,
3,18,,,40,22,3,26,,25,20,,,,3,35,26,35,16,28,26,34,,15,20,29,,,3,,18,,,3,1,5,12,4,,,,8,25,,23,8,16,18,0,0,8,4,0,4,,15,,12,,4,30,1,,7,2,,,17,4,5,12,7,,,,,,,
4,20,,,47,15,3,30,12,30,32,,,,2,,,,16,,31,36,,,,35,,10,2,,20,35,6,1,1,8,20,2,5,,,7,26,,30,8,25,25,0,7,12,6,1,,2,20,17,8,10,,40,2,,7,5,13,,17,4,12,20,,12,10,4,10,20,32,
5,20,,,,14,3,,,32,35,,,,,,,,9,,35,40,,,,,,,0,,18,40,6,1,1,,,1,7,,,7,27,,35,10,25,30,0,19,20,11,1,6,2,23,21,6,,2,,2,20,7,4,17,,,3,,30,10,,,,,,,
6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0,,,,,0,1,,,,,,,,,,,,,35,0,22,25,19,,,2,25,22,4,,,,1,25,8,5,20,,,,,,10,,,,,,,
7,,,,,6,0,,,,,,,,5,,,,4,,,,,,,,,,0,,,,,0,,,,0,15,,,6,,,,,,40,0,25,,,3,,3,,23,3,10,,,1,30,6,5,23,,,,,,10,13,12,9,,30,42,5
8,,,,,,,,,,,,,,10,,,,4,,,,,,,,,40,0,,,,,0,1,,,0,18,5,12,,,,,,,,0,,,,,,,,25,2,10,2,,1,35,,,,,,,,,,,15,11,,,,
9,,,,,,,,,,,,,,10,,,,,,,,,,,,,,0,,,,,0,5,,,0,28,17,30,,,,,,,,0,,,,,,,,,2,,2,,,,,,,,,,,,20,,15,10,,,,5
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7,,,,,,,,,,,,,,0,,,,,,,,20,2,,,,,,,,,,,,,,24,,,,,,,7
